customs_office_id,name,country,street_and_address,postcode,city,latitude,longitude
AT010000,Zollamt Österreich,AT,Conrad von Hötzendorf-Str. 14-18,8010,Graz,47.0623169,15.4432811
AT010100,Dienststelle NORD,AT,Brehmstraße 14,1110,Wien,48.1767705,16.401981
AT010200,Dienststelle OST,AT,Flughafen Wien,1300,Wien-Flughafen,48.120886,16.5627437
AT010300,Dienststelle SÜD,AT,Siriusstraße 11,9020,Klagenfurt,46.6190932,14.3208055
AT010400,Dienststelle MITTE,AT,Aigner Straße 10,5026,Salzburg,47.7964711,13.0643166
AT010500,Dienststelle WEST,AT,Senderstrasse 30,6960,Wolfurt,47.4584519,9.73074
AT100000,Wien,AT,Brehmstraße 14,1110,Wien,48.1767705,16.401981
AT100003,Zollamt Österreich (ZVZ),AT,Vordere Zollamtsstraße 5,1030,Wien,48.2088603,16.3848018
AT100200,Hafen Wien,AT,Seitenhafenstrasse 15,1020,Wien,48.1830435,16.4582378
AT100900,Wien/Post,AT,Halban-Kurz-Straße 5,1230,Wien,48.1339689,16.3637803
AT230000,St. Pölten,AT,Daniel Gran-Strasse 8,3100,St. Pölten,48.2102743,15.6320922
AT230200,Mistelbach,AT,Mitschastrasse 5,2130,Mistelbach,48.5669093,16.5736813
AT240000,Krems,AT,Rechte Kremszeile 58,3500,Krems an der Donau,48.409666,15.6217156
AT240100,Hafen Krems,AT,Karl Mierka Strasse 7-9,3500,Krems,48.4031221,15.6445782
AT240200,Amstetten,AT,Graben 7,3300,Amstetten,48.1222302,14.8711326
AT240400,Gmünd-Nagelberg,AT,Nagelberger Strasse 47,3871,Nagelberg,48.821687,14.97002
AT240500,Hollabrunn,AT,Babogasse 9,2020,Hollabrunn,48.565234,16.0818254
AT250000,Wiener Neustadt,AT,Neunkirchner Strasse 94,2700,Wiener Neustadt,47.795528,16.2187588
AT250100,Wiener Neudorf,AT,"IZ NÖ Süd, Strasse 7, Objekt 58/B6",2355,Wiener Neudorf,48.083362,16.3143717
AT250101,Wr. Neudorf Außenstelle Abfertigung,AT,"IZ NÖ Süd, Strasse 7, Objekt 15",2355,Wiener Neudorf,48.083362,16.3143717
AT320000,Eisenstadt,AT,Neusiedlerstraße 46,7001,Eisenstadt,47.8468969,16.5332635
AT320200,Eisenstadt/Strasse,AT,"KontrPl. Polizei, Eisenstadt B50",7000,Eisenstadt,47.8454821,16.5249288
AT320300,Nickelsdorf,AT,Neue Teilung 8,2425,Nickelsdorf an der Leitha,47.9267489,17.1089817
AT320400,Heiligenkreuz,AT,Europastraße 1,7561,Heiligenkreuz im Lafnitztal,46.9696314,16.2746686
AT320600,Schachendorf,AT,Schachendorf 147,7472,Schachendorf,47.2630908,16.4423433
AT330000,Flughafen Wien,AT,Flughafen Wien,1300,Wien-Flughafen,48.1202991,16.5646042
AT330100,Flughafen Wien Güterabfertigung,AT,Flughafen Wien,1300,Wien-Flughafen,48.1202991,16.5646042
AT330200,Flughafen Wien Reisendenabfertigung,AT,Flughafen Wien,1300,Wien-Flughafen,48.1202991,16.5646042
AT330300,Maria Lanzendorf,AT,Wiener Straße 26,2326,Maria Lanzendorf,48.0987185,16.4195246
AT330400,Flughafen Wien Cargo Center Nord,AT,Flughafen Wien,1300,Wien-Flughafen,48.1202991,16.5646042
AT420000,Klagenfurt,AT,Siriusstraße 11,9020,Klagenfurt,46.6190932,14.3208055
AT420100,Klagenfurt Flughafen/Strasse,AT,"Flughafenstraße, Hangar 2",9020,Klagenfurt,46.6508918,14.3144179
AT430000,Villach,AT,Ackerweg 19,9500,Villach,46.5942052,13.8416356
AT430100,Bahnhof Villach Süd,AT,Ackerweg 19,9500,Villach,46.5942052,13.8416356
AT520000,Linz,AT,Bahnhofplatz 7,4020,Linz,48.2898117,14.2902866
AT520100,Flughafen Linz,AT,Flughafenstraße 3,4063,Hörsching,48.4463272,15.6284522
AT520300,Hafen Enns,AT,Donaustrasse 3,4470,Enns,48.2340873,14.5134474
AT530000,Wels,AT,Dragonerstrasse 31,4600,Wels,48.1559815,14.0127915
AT530200,Suben,AT,Suben 25,4975,Suben,48.405576,13.4277511
AT530300,Schärding,AT,Gerichtsplatz 2,4780,Schärding,47.098494,13.637259
AT600000,Salzburg,AT,Aigner Straße 10,5026,Salzburg,47.7964967,13.0643669
AT600200,Flughafen Salzburg,AT,Wilhelm-Spazier-Strasse 2,5020,Salzburg,47.7962915,13.0059678
AT600201,Flughafen Salzburg Reisendenabf.,AT,Innsbrucker Bundesstraße 95,5020,Salzburg,47.793725,12.9975232
